product_url,product_name,brand,sku,image_url,star_rating,number_of_reviews,MRP,sale_price,discount_percentage,colour,description,details_and_care,style_1,category,material
https://www.debenhams.com/product/paradox-london-shimmer-quest-wide-fit-low-heel-sandal_p-53a2679c-a8d0-48b6-a5ef-e94e380f1edd?colour=Gold,Shimmer 'Quest' WIDE FIT Low Heel Sandal,Paradox London,SKU: M5055960622798,https://media.boohoo.com/i/boohoo/m5055960622798_gold_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,Not Available,Not Available,59,49,Not Available,Gold,"Quest is a wide fit, low block heel sandal with diamante and mesh detail. The stable low heel and padded insole ensure superior comfort for that special occasion.
Style: Sandals
Heel Height: Flat
Fabric: N/A",Upper: Metallic PU. Lining: Synthetic. Sole: Synthetic. Care options: Use specialist cleaner,Sandals,Bags & Footwear ,Polyurethane
https://www.debenhams.com/product/monsoon-fearne-floral-midi-dress_p-d05fb012-cfc7-48ed-bdf4-a54d4c9e2bd7?colour=Ivory,'Fearne' Floral Midi Dress,Monsoon,SKU: M5045462767028,https://media.boohoo.com/i/boohoo/m5045462767028_ivory_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,Not Available,Not Available,99,49.5,50,Ivory,"Fearne from Monsoon offers a fresh, feminine feel to wedding season, with blooming florals in yellow, lilac and forest green. Its fitted silhouette is flattering for all - just team with barely-there heels and you're good to go.
Style: Midi Dress
Sleeve Length: Short Sleeve
Length: Midi
Neckline: Square
Detail: Zips
Design: Print
Fabric: Woven","Outer, 100% Viscose. Lining, 100% Viscose. L: 110 cm. Machine Washable.",Midi Dress,Dresses,Viscose
https://www.debenhams.com/product/krisp-lace-back-sleeve-tailored-shrug_p-e2c40f89-4183-4bd3-aa4f-2287457b7b2a?colour=Wine,Lace Back & Sleeve Tailored Shrug,KRISP,SKU: M5057061326414,https://media.boohoo.com/i/boohoo/m5057061326414_wine_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,Not Available,Not Available,99,49.5,Not Available,Wine,"Feel stylish and smart in our Lace Back & Sleeve Tailored Shrug. Pair this cropped style with a high waisted skirt and heels for maximum chicness.
Style: Bolero
Sleeve Length: 3/4 Sleeve
Design: Plain
Fabric: N/A",Stretch fabric. Lace 3/4 sleeve & back (lace pattern may vary). Open styling. Collarless lapel. Cropped length. 90% Polyester; 5% Viscose; 5% Elastane. Hand wash recommended.,Dress,Dresses,Polyester
https://www.debenhams.com/product/wallis-estel-slingback-pointed-block-heeled-court-shoes_byy07636?colour=fuchsia,Estel Slingback Pointed Block Heeled Court Shoes,Wallis,SKU: BYY07636-126-12,https://media.boohoo.com/i/boohoo/byy07636_fuchsia_xl?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,4.5,2,55,49.5,10,Fuchsia,"Estel Slingback Pointed Block Heeled Court Shoes
Style: Court Shoes
Heel Height: Mid","Upper: Synthetic, Lining: Synthetic, Outsole: Synthetic",Court Shoes,Bags & Footwear ,Synthetic
https://www.debenhams.com/product/paradox-london-glitter-francis-mid-block-heel-wide-fit-court-shoes_p-9b5f0a3e-6f6a-450b-828b-bfa6d01bdb93?colour=Metallic%20Gold,Glitter 'Francis' Mid Block Heel Wide Fit Court Shoes,Paradox London,SKU: M5055960599342,https://media.boohoo.com/i/boohoo/m5055960599342_metallic%20gold_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,4.8,4,129,49.5,Not Available,Metallic Gold,"The ‘ Francis’ Wide Fit style by Paradox London rests on a low block heel. Featuring a flattering cross strap. The padded insock provides all day comfort whatever the occasion.
Style: Court Shoes
Fabric: N/A",Upper: Glitter Mesh. Lining: Synthetic. Sole: Synthetic. Care options: Use specialist cleaner,Court Shoes,Bags & Footwear ,Glitter & Mesh
https://www.debenhams.com/product/paradox-london-satin-anika-mid-heel-crystal-t-bar-court-shoes_p-2fcf602c-617d-4e8b-94e6-da83a207bbbf?colour=Ivory,Satin 'Anika' Mid Heel Crystal T-bar Court Shoes,Paradox London,SKU: M5055960599755,https://media.boohoo.com/i/boohoo/m5055960599755_ivory_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,5,5,99,49.5,50,Ivory,"These' Anika 'by Paradox London are perfect for any special occasion. Featuring a crystal trim to add a bit of sparkle to your day. The insock is extra padded and with the addition of the soft lining these shoes will keep you on your toes all day.
Style: 2 Part Heels
Fabric: N/A",Upper: Satin. Lining: Synthetic. Sole: Synthetic. Care options: Use specialist cleaner,Part Heels,Bags & Footwear ,Satin
https://www.debenhams.com/product/paradox-london-satin-bonnie-mid-heel-extra-wide-fit-t-bar-sandals_p-21baa8c4-86e2-4657-8bc1-8e86fd95ef82?colour=Ivory,Satin 'Bonnie' Mid Heel  Extra Wide Fit T-bar Sandals,Paradox London,SKU: M5055960578064,https://media.boohoo.com/i/boohoo/m5055960578064_ivory_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,5,1,99,49.5,50,Ivory,"Complete your bridal look with the Paradox London 'Bonnie' extra wide fitting vintage sandals. Featuring a stunning crystal jewel on the t-bar with ankle strap fastening. Cotton lining and memory foam padding make this style extra comfortable for your special day.
Style: Sandals
Fabric: N/A",Upper: Dyeable Satin. Lining: Synthetic. Sole: Synthetic. Care options: Use specialist cleaner,Sandals,Bags & Footwear ,Satin
https://www.debenhams.com/product/paradox-london-satin-brittney-wide-fit-block-heel-shoes_p-15196c08-d3e9-48e2-89ca-1d3f021ea36c?colour=Ivory,Satin 'Brittney' Wide Fit Block Heel Shoes,Paradox London,SKU: M5055960588308,https://media.boohoo.com/i/boohoo/m5055960588308_ivory_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,4.5,2,99,49.5,50,Ivory,"The pretty 'Britney' wide fit court shoes by Paradox London feature a stunning crystal trim and pleating. The low block heel and memory foam padding will add stability and comfort.
Style: Court Shoes
Fabric: N/A",Upper: Satin. Lining: Synthetic. Sole: Synthetic. Care options: Use specialist cleaner,Court Shoes,Bags & Footwear ,Satin
https://www.debenhams.com/product/goddiva-pleated-satin-v-neck-high-and-low-midi_p-a133371a-3434-41de-a545-b557e00b98c8?colour=Light%20Blue,Pleated Satin V Neck High And Low Midi,Goddiva,SKU: M5056604732828,https://media.boohoo.com/i/boohoo/m5056604732828_light%20blue_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,3.9,12,62,49.6,20,Light Blue,"This pleated satin v neck high and low midi dress is a must-have for any special occasion. The luxurious satin fabric has a silky smooth texture that drapes beautifully on the body, creating an elegant and sexy silhouette. Perfect for a wedding guest outfit, prom dress or any other semi-formal event, this light blue midi dress features a flattering V-neckline and pleated detailing that adds an extra touch of sophistication.The high and low hemline is a unique feature that adds movement and drama to the dress, making it perfect for twirling on the dance floor. The midi length falls just below the knee, making it a versatile dress that can be dressed up or down depending on the occasion. Whether you're attending a black-tie event or a cocktail party, this light blue pleated satin v neck high and low midi dress will make you feel confident and stylish. With its timeless design and luxurious satin fabric, you'll look and feel like a true fashion icon. So why wait? Add this stunning baby blue dress to your wardrobe today and get ready to turn heads at your next special event!
Style: Midi Dress
Sleeve Length: Sleeveless","Knitted, 100% Polyester, Do not dry clean cold hand wash only. Cool iron on reverse. Do not bleach.",Midi Dress,Dresses,Polyester
https://www.debenhams.com/product/roman-tropical-print-angel-sleeve-maxi-dress_p-a83728c7-f042-4dc8-a11a-45fb968998ad?colour=Grey,Tropical Print Angel Sleeve Maxi Dress,Roman,SKU: M5063026066639,https://media.boohoo.com/i/boohoo/m5063026066639_grey_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,Not Available,Not Available,70,50,29,Grey,"Tropical Print Angel Sleeve Maxi Dress from Roman. Tropic like it's hot in this beautiful printed maxi dress. Crafted in lightweight woven fabric, this subtle floral print dress has a round pleated neckline that flows down to a flattering gathered wais, an elasticated shirred back detail with a pretty fabric tie. This dress is finished with delicate angel sleeves for the perfect finishing touch. Complete this look with a clutch bag and heels for your special Summer occasions!
Style: Maxi Dress
Sleeve Length: Short Sleeve",Machine Washable. 100% Polyester,Maxi Dress,Dresses,Polyester
